id,condition,manipulation_check,manipulation_check_quantised,Gefen1,Gefen1_quantised,Gefen2,Gefen2_quantised,Gefen3,Gefen3_quantised,Gefen4,Gefen4_quantised,attention3,attention3_quantised,Gefen5,Gefen5_quantised,score
5c59866b2e4cc90001d08a07,baseline,Slightly Agree,5,Agree,6,Agree,6,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Agree,6,28
5fadd713eb62cd1f58f49a6d,baseline,Strongly Disagree,1,Agree,6,Agree,6,Disagree,2,Agree,6,Strongly Agree,7,Agree,6,26
5adf6992dee8590001b060a8,baseline,Disagree,2,Slightly Disagree,3,Disagree,2,Disagree,2,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Disagree,3,14
5d6e3252dfe6d10001dbe508,baseline,Neither Agree Nor Disagree,4,Disagree,2,Disagree,2,Slightly Disagree,3,Disagree,2,Strongly Agree,7,Slightly Disagree,3,12
60b779f4c9f65a87ef9f1f59,baseline,Strongly Disagree,1,Agree,6,Agree,6,Slightly Disagree,3,Neither Agree Nor Disagree,4,Strongly Agree,7,Agree,6,25
60492aa1297bd09ad27f99f6,baseline,Neither Agree Nor Disagree,4,Slightly Agree,5,Slightly Agree,5,Agree,6,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,24
5db9e0044a8eb40431d5e782,baseline,Disagree,2,Slightly Disagree,3,Disagree,2,Slightly Agree,5,Slightly Disagree,3,Strongly Agree,7,Slightly Agree,5,18
5fe65c62e5e63147348427a6,baseline,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Neither Agree Nor Disagree,4,Slightly Disagree,3,Neither Agree Nor Disagree,4,Strongly Agree,7,Neither Agree Nor Disagree,4,19
5f235c88d7c5b4117f9ba2fb,baseline,Slightly Agree,5,Agree,6,Slightly Agree,5,Slightly Agree,5,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Agree,5,25
5ca8b0cded17090016e1f1c1,baseline,Slightly Agree,5,Slightly Disagree,3,Neither Agree Nor Disagree,4,Disagree,2,Neither Agree Nor Disagree,4,Strongly Agree,7,Slightly Disagree,3,16
61a74f60a9217c6f76a4d0e4,baseline,Strongly Disagree,1,Slightly Agree,5,Slightly Disagree,3,Slightly Agree,5,Slightly Agree,5,Strongly Agree,7,Slightly Agree,5,23
