id,sex,eth,eng,exp_date,interact_before,percieved_robot_gender,item,robot_expression,ppt_resp,time,ppt_acc
22,Female,White,Yes,18/09/2017,Once or twice,Female,Toast,1,Like,03:22:00,Correct
23,Female,White,Yes,18/09/2017,Never,Female,Oatmeal,4,Dislike,09:11:00,Correct
23,Female,White,Yes,18/09/2017,Never,Female,Croissant,3,Dislike,09:31:00,Correct
23,Female,White,Yes,18/09/2017,Never,Female,Milk,1,Like,09:51:00,Correct
23,Female,White,Yes,18/09/2017,Never,Female,Toast,2,Like,10:09:00,Correct
24,Male,Mixed or multiple ethic groups,No,18/09/2017,A few times,Female,Croissant,4,Dislike,23:59:00,Correct
24,Male,Mixed or multiple ethic groups,No,18/09/2017,A few times,Female,Toast,3,Like,24:17:00,Incorrect
24,Male,Mixed or multiple ethic groups,No,18/09/2017,A few times,Female,Beans,2,Like,24:34:00,Correct
24,Male,Mixed or multiple ethic groups,No,18/09/2017,A few times,Female,Milk,1,Like,24:52:00,Correct
25,Male,Asian,No,18/09/2017,Never,Female,Beans,1,Like,07:20:00,Correct
25,Male,Asian,No,18/09/2017,Never,Female,Oatmeal,2,Dislike,07:50:00,Incorrect
25,Male,Asian,No,18/09/2017,Never,Female,Toast,3,Dislike,08:12:00,Correct
25,Male,Asian,No,18/09/2017,Never,Female,Croissant,4,Dislike,08:36:00,Correct
26,Male,White,Yes,19/09/2017,A few times,Female,Toast,1,Like,41:03:00,Correct
26,Male,White,Yes,19/09/2017,A few times,Female,Croissant,2,Like,41:23:00,Correct
26,Male,White,Yes,19/09/2017,A few times,Female,Beans,4,Dislike,41:43:00,Correct
26,Male,White,Yes,19/09/2017,A few times,Female,Oatmeal,3,Dislike,42:01:00,Correct
27,Female,White,Yes,19/09/2017,Never,Female,Oatmeal,1,Like,12:46:00,Correct
27,Female,White,Yes,19/09/2017,Never,Female,Croissant,3,Like,13:17:00,Incorrect
27,Female,White,Yes,19/09/2017,Never,Female,Milk,2,Like,13:36:00,Correct
27,Female,White,Yes,19/09/2017,Never,Female,Toast,4,Like,14:15:00,Incorrect
28,Female,White,Yes,20/09/2017,Never,Female,Beans,1,Like,05:15:00,Correct
28,Female,White,Yes,20/09/2017,Never,Female,Croissant,3,Dislike,05:38:00,Correct
28,Female,White,Yes,20/09/2017,Never,Female,Oatmeal,4,Dislike,05:55:00,Correct
28,Female,White,Yes,20/09/2017,Never,Female,Toast,2,Like,06:13:00,Correct
29,Male,Mixed or multiple ethic groups,Yes,20/09/2017,Once or twice,Female,Milk,1,Like,05:35:00,Correct
29,Male,Mixed or multiple ethic groups,Yes,20/09/2017,Once or twice,Female,Croissant,4,Dislike,05:53:00,Correct
29,Male,Mixed or multiple ethic groups,Yes,20/09/2017,Once or twice,Female,Beans,2,Like,06:12:00,Correct
29,Male,Mixed or multiple ethic groups,Yes,20/09/2017,Once or twice,Female,Oatmeal,3,Dislike,06:30:00,Correct
3,Male,Arab,No,05/09/2017,Never,Male,Beans,1,Dislike,14:27:00,Incorrect
3,Male,Arab,No,05/09/2017,Never,Male,Oatmeal,3,Dislike,15:06:00,Correct
3,Male,Arab,No,05/09/2017,Never,Male,Croissant,2,Like,15:24:00,Correct
3,Male,Arab,No,05/09/2017,Never,Male,Toast,4,Like,15:42:00,Incorrect
30,Male,White,Yes,21/09/2017,Never,Female,Beans,1,Dislike,09:40:00,Incorrect
30,Male,White,Yes,21/09/2017,Never,Female,Oatmeal,4,Dislike,10:01:00,Correct
30,Male,White,Yes,21/09/2017,Never,Female,Milk,3,Dislike,10:19:00,Correct
30,Male,White,Yes,21/09/2017,Never,Female,Toast,2,Like,10:37:00,Correct
31,Female,White,No,21/09/2017,Never,Female,Beans,2,Like,00:43:00,Correct
31,Female,White,No,21/09/2017,Never,Female,Toast,1,Like,01:04:00,Correct
31,Female,White,No,21/09/2017,Never,Female,Milk,3,Dislike,01:22:00,Correct
31,Female,White,No,21/09/2017,Never,Female,Oatmeal,4,Dislike,01:46:00,Correct
32,Female,White,Yes,21/09/2017,Never,Female,Croissant,2,Like,19:27:00,Correct
32,Female,White,Yes,21/09/2017,Never,Female,Toast,1,Dislike,19:47:00,Incorrect
32,Female,White,Yes,21/09/2017,Never,Female,Beans,4,Dislike,20:05:00,Correct
32,Female,White,Yes,21/09/2017,Never,Female,Oatmeal,3,Dislike,20:25:00,Correct
33,Male,White,Yes,22/09/2017,Never,Female,Toast,2,Dislike,15:41:00,Incorrect
33,Male,White,Yes,22/09/2017,Never,Female,Beans,3,Dislike,16:02:00,Correct
33,Male,White,Yes,22/09/2017,Never,Female,Croissant,1,Dislike,16:27:00,Incorrect
33,Male,White,Yes,22/09/2017,Never,Female,Oatmeal,4,Dislike,17:10:00,Correct
34,Female,White,No,27/09/2017,Never,Female,Oatmeal,2,Dislike,06:29:00,Incorrect
34,Female,White,No,27/09/2017,Never,Female,Beans,3,Like,06:52:00,Incorrect
34,Female,White,No,27/09/2017,Never,Female,Croissant,4,Dislike,07:11:00,Correct
34,Female,White,No,27/09/2017,Never,Female,Milk,1,Like,07:29:00,Correct
35,Male,White,No,27/09/2017,Never,Female,Toast,2,Miss,00:34:00,Incorrect
35,Male,White,No,27/09/2017,Never,Female,Toast,4,Dislike,00:58:00,Correct
35,Male,White,No,27/09/2017,Never,Female,Oatmeal,1,Like,01:22:00,Correct
35,Male,White,No,27/09/2017,Never,Female,Beans,3,Like,01:40:00,Incorrect
36,Male,Asian,No,27/09/2017,Never,Male,Milk,2,Like,38:42:00,Correct
36,Male,Asian,No,27/09/2017,Never,Male,Oatmeal,4,Dislike,39:07:00,Correct
36,Male,Asian,No,27/09/2017,Never,Male,Toast,3,Dislike,39:26:00,Correct
36,Male,Asian,No,27/09/2017,Never,Male,Croissant,1,Like,39:44:00,Correct
37,Male,White,Yes,27/09/2017,Never,Female,Oatmeal,3,Dislike,29:59:00,Correct
37,Male,White,Yes,27/09/2017,Never,Female,Toast,1,Like,30:23:00,Correct
37,Male,White,Yes,27/09/2017,Never,Female,Milk,2,Like,30:43:00,Correct
37,Male,White,Yes,27/09/2017,Never,Female,Croissant,4,Dislike,31:03:00,Correct
38,Male,White,Yes,27/09/2017,Never,Female,Croissant,3,Dislike,46:48:00,Correct
38,Male,White,Yes,27/09/2017,Never,Female,Toast,1,Like,47:12:00,Correct
38,Male,White,Yes,27/09/2017,Never,Female,Oatmeal,4,Dislike,47:35:00,Correct
38,Male,White,Yes,27/09/2017,Never,Female,Milk,2,Like,47:55:00,Correct
39,Female,White,Yes,02/10/2017,Once or twice,Female,Beans,3,Dislike,05:03:00,Correct
39,Female,White,Yes,02/10/2017,Once or twice,Female,Croissant,2,Like,05:22:00,Correct
39,Female,White,Yes,02/10/2017,Once or twice,Female,Oatmeal,1,Dislike,05:39:00,Incorrect
39,Female,White,Yes,02/10/2017,Once or twice,Female,Toast,4,Dislike,05:56:00,Correct
4,Male,White,Yes,07/09/2017,Never,Female,Milk,1,Dislike,05:42:00,Incorrect
4,Male,White,Yes,07/09/2017,Never,Female,Beans,3,Dislike,06:04:00,Correct
4,Male,White,Yes,07/09/2017,Never,Female,Croissant,4,Dislike,06:24:00,Correct
4,Male,White,Yes,07/09/2017,Never,Female,Toast,2,Like,06:42:00,Correct
40,Female,White,No,02/10/2017,Never,Female,Oatmeal,3,Dislike,04:18:00,Correct
40,Female,White,No,02/10/2017,Never,Female,Milk,2,Like,04:41:00,Correct
40,Female,White,No,02/10/2017,Never,Female,Toast,4,Dislike,05:01:00,Correct
40,Female,White,No,02/10/2017,Never,Female,Croissant,1,Like,05:24:00,Correct
41,Female,Asian,No,02/10/2017,Never,Female,Toast,3,Dislike,04:26:00,Correct
41,Female,Asian,No,02/10/2017,Never,Female,Oatmeal,4,Dislike,04:45:00,Correct
41,Female,Asian,No,02/10/2017,Never,Female,Beans,1,Like,05:02:00,Correct
41,Female,Asian,No,02/10/2017,Never,Female,Milk,2,Like,05:20:00,Correct
42,Male,White,Yes,02/10/2017,Never,Female,Toast,3,Dislike,34:15:00,Correct
42,Male,White,Yes,02/10/2017,Never,Female,Croissant,4,Dislike,34:34:00,Correct
42,Male,White,Yes,02/10/2017,Never,Female,Oatmeal,2,Like,34:52:00,Correct
42,Male,White,Yes,02/10/2017,Never,Female,Beans,1,Like,35:17:00,Correct
43,Male,White,Yes,04/10/2017,Never,NA,Croissant,4,Dislike,22:21:00,Correct
43,Male,White,Yes,04/10/2017,Never,NA,Toast,1,Like,22:40:00,Correct
43,Male,White,Yes,04/10/2017,Never,NA,Beans,3,Dislike,22:58:00,Correct
43,Male,White,Yes,04/10/2017,Never,NA,Milk,2,Like,23:17:00,Correct
44,Male,White,Yes,05/10/2017,Never,Female,Oatmeal,4,Dislike,05:01:00,Correct
44,Male,White,Yes,05/10/2017,Never,Female,Milk,2,Like,05:21:00,Correct
44,Male,White,Yes,05/10/2017,Never,Female,Croissant,1,Like,05:39:00,Correct
44,Male,White,Yes,05/10/2017,Never,Female,Beans,3,Dislike,05:56:00,Correct
45,Female,White,Yes,05/10/2017,Once or twice,NA,Milk,4,Dislike,12:44:00,Correct
45,Female,White,Yes,05/10/2017,Once or twice,NA,Toast,2,Like,13:03:00,Correct
45,Female,White,Yes,05/10/2017,Once or twice,NA,Oatmeal,3,Dislike,13:20:00,Correct
45,Female,White,Yes,05/10/2017,Once or twice,NA,Croissant,1,Dislike,13:38:00,Incorrect
46,Male,African,Yes,05/10/2017,Never,Female,Milk,4,Dislike,14:28:00,Correct
46,Male,African,Yes,05/10/2017,Never,Female,Beans,3,Like,14:52:00,Incorrect
46,Male,African,Yes,05/10/2017,Never,Female,Croissant,1,Like,15:10:00,Correct
46,Male,African,Yes,05/10/2017,Never,Female,Oatmeal,2,Like,15:29:00,Correct
47,Male,White,Yes,05/10/2017,Never,Female,Beans,4,Dislike,42:30:00,Correct
47,Male,White,Yes,05/10/2017,Never,Female,Croissant,3,Dislike,42:49:00,Correct
